"","Rep_2020_Pres","Dem_2020_Pres","Total_2020_Pres","District"
"1",189951,153778,357569,"AK-01"
"2",200603,296268,504010,"DE-01"
"3",235751,115042,362024,"ND-01"
"4",261043,150471,422609,"SD-01"
"5",112704,242820,367428,"VT-01"
"6",193559,73491,276765,"WY-01"
"7",208118,115566,327929,"AL-01"
"8",205438,111275,320603,"AL-02"
"9",210791,102771,317463,"AL-03"
"10",262334,60726,326949,"AL-04"
"11",216609,123036,346696,"AL-05"
"12",228506,122033,356536,"AL-06"
"13",109374,214217,327106,"AL-07"
"14",197832,80516,286792,"AR-01"
"15",183964,140254,333041,"AR-02"
"16",180794,110479,300274,"AR-03"
"17",198057,92683,298962,"AR-04"
"18",225000,231828,462714,"AZ-01"
"19",215674,183709,405642,"AZ-02"
"20",54815,171012,229528,"AZ-03"
"21",162949,201148,371378,"AZ-04"
"22",239637,171318,417448,"AZ-05"
"23",214586,214892,436083,"AZ-06"
"24",97589,194849,296842,"AZ-07"
"25",225569,171106,402270,"AZ-08"
"26",225867,132281,363389,"AZ-09"
"27",203185,136945,348713,"CA-01"
"28",101528,310452,422260,"CA-02"
"29",219696,211804,442392,"CA-03"
"30",113896,250454,373476,"CA-04"
"31",220708,171264,400862,"CA-05"
"32",131441,192843,333278,"CA-06"
"33",102731,228896,339414,"CA-07"
"34",70549,244078,321349,"CA-08"
"35",121663,157655,285425,"CA-09"
"36",119809,280965,409374,"CA-10"
"37",46188,339716,393710,"CA-11"
"38",31678,328667,367980,"CA-12"
"39",100331,125352,230922,"CA-13"
"40",87676,239712,334446,"CA-14"
"41",71576,272983,351206,"CA-15"
"42",85572,288155,382014,"CA-16"
"43",76383,219544,301908,"CA-17"
"44",72132,190267,268205,"CA-18"
"45",119846,283131,412422,"CA-19"
"46",214222,127263,349337,"CA-20"
"47",88103,134095,226866,"CA-21"
"48",79735,104009,188276,"CA-22"
"49",160279,130956,298403,"CA-23"
"50",130039,240252,379237,"CA-24"
"51",109729,150333,265251,"CA-25"
